 *  Executing task: C:\Users\DarkRymit\.platformio\penv\Scripts\platformio.exe device monitor 

--- Terminal on COM3 | 115200 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
 (SPI_FAST_F
32 ms: Setting things up ...
33 ms:   Fan tacho detection sucessfully initialized.
34 ms:   Fan PWM sucessfully initialized.
1035 ms:   Temperature sensor sucessfully initialized.
1035 ms: Settings done. Have fun.
2060 ms: fan rpm = 3600, fan pwm = 170, temp = 26.000000, mode = 0
3060 ms: fan rpm = 3630, fan pwm = 170, temp = 26.000000, mode = 0
4060 ms: fan rpm = 3690, fan pwm = 170, temp = 26.000000, mode = 0
5060 ms: fan rpm = 3630, fan pwm = 170, temp = 26.000000, mode = 0
6060 ms: fan rpm = 3630, fan pwm = 170, temp = 26.000000, mode = 0
7060 ms: fan rpm = 3600, fan pwm = 170, temp = 26.000000, mode = 0
8060 ms: fan rpm = 3630, fan pwm = 170, temp = 26.000000, mode = 0
9060 ms: fan rpm = 3600, fan pwm = 170, temp = 26.000000, mode = 0
10060 ms: fan rpm = 3780, fan pwm = 170, temp = 26.000000, mode = 0
11035 ms: Mode not changed. Still 0
11060 ms: fan rpm = 4080, fan pwm = 170, temp = 26.000000, mode = 0
12060 ms: fan rpm = 3990, fan pwm = 170, temp = nan, mode = 0
13060 ms: fan rpm = 4140, fan pwm = 170, temp = nan, mode = 0
14060 ms: fan rpm = 3690, fan pwm = 170, temp = 30.600000, mode = 0
15060 ms: fan rpm = 3660, fan pwm = 170, temp = 30.600000, mode = 0
16060 ms: fan rpm = 3780, fan pwm = 170, temp = 30.600000, mode = 0
17060 ms: fan rpm = 3750, fan pwm = 170, temp = 30.600000, mode = 0
18060 ms: fan rpm = 3750, fan pwm = 170, temp = 30.900000, mode = 0
19060 ms: fan rpm = 4020, fan pwm = 170, temp = 30.900000, mode = 0
20060 ms: fan rpm = 3870, fan pwm = 170, temp = 32.099998, mode = 0
21035 ms: Mode changed to 1
21060 ms: fan rpm = 3690, fan pwm = 200, temp = 32.099998, mode = 1
22060 ms: fan rpm = 3840, fan pwm = 200, temp = 35.799999, mode = 1
23060 ms: fan rpm = 3930, fan pwm = 200, temp = 35.799999, mode = 1
24060 ms: fan rpm = 3960, fan pwm = 200, temp = 40.299999, mode = 1
25060 ms: fan rpm = 3990, fan pwm = 200, temp = 40.299999, mode = 1
26060 ms: fan rpm = 3960, fan pwm = 200, temp = 44.500000, mode = 1
27060 ms: fan rpm = 4050, fan pwm = 200, temp = 44.500000, mode = 1
